realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat,is_weekend,city
307.8623674122157,Private room,False,True,4.0,True,0,0,10.0,99.0,1,3.6955908706684615,0.5391931187842508,350.8604600559754,24.38869992012297,891.7235707250725,15.967054630880062,-0.08021,51.52356,False,london
257.2967379289259,Entire home/apt,False,False,5.0,False,1,0,9.0,91.0,2,9.932426159090214,0.5409103107448678,112.6825483885514,7.832688979672084,256.4932240302183,4.592725206546907,-0.16967,51.42303,False,london
450.38688586279073,Private room,False,True,3.0,False,1,0,10.0,93.0,1,14.841900688133745,6.481097285423529,81.7697671861028,5.683907255100846,166.35479960391152,2.9787215013560435,0.0723299999999999,51.46117,False,london
573.8610973917542,Entire home/apt,False,False,4.0,False,0,1,9.0,100.0,1,4.128201375556939,0.0953987360405912,310.6098054520407,21.590832253395096,818.0028740754802,14.647024041273172,-0.18665,51.51216,False,london
291.86951715703566,Entire home/apt,False,False,3.0,False,0,0,10.0,96.0,0,3.494689375360566,0.3171030594685272,326.08727781096025,22.66668853205205,755.878846675523,13.534641491399732,-0.08885,51.52844,False,london
640.654766104565,Entire home/apt,False,False,5.0,True,0,1,10.0,100.0,2,13.701645016531351,4.561032681599901,89.82170352042895,6.243606284744956,188.81557251732525,3.380900382720208,0.06847,51.49414,False,london
902.6552835203086,Entire home/apt,False,False,6.0,True,0,1,10.0,100.0,2,0.2627723160679007,0.0687378831080774,1010.139627435683,70.21592643133205,1888.4595673524425,33.814444374961006,-0.12376,51.50801,False,london
323.1496507443731,Private room,False,True,2.0,False,1,0,10.0,98.0,1,8.239024785614959,0.3387408377304755,144.53472557981212,10.046769161851373,332.42754656728675,5.952392614824992,-0.245,51.498000000000005,False,london
193.3253369082057,Private room,False,True,2.0,True,1,0,10.0,96.0,1,5.469039997662111,0.2659569073148329,231.34025784885907,16.080718035938194,525.2920817987256,9.405793053590688,-0.195,51.483,False,london
138.9966838354618,Private room,False,True,2.0,False,0,1,9.0,82.0,1,6.927829602169573,0.2448581188955618,185.53683826968404,12.896871514008174,441.416661225341,7.903933658538118,-0.22316,51.49064,False,london
122.5334556316,Private room,False,True,2.0,False,0,1,8.0,81.0,1,4.4348848985664695,0.3859974314241103,328.8659238342162,22.85983530052696,714.0712093720144,12.78604085917651,-0.0650299999999999,51.51661,False,london
133.1169594769397,Private room,False,True,3.0,False,0,1,7.0,76.0,1,5.172801486325587,0.3203874506403633,245.9283722821043,17.09475405828187,540.6389647067324,9.680591798235977,-0.06,51.528,False,london
284.10828100378654,Entire home/apt,False,False,4.0,False,0,0,10.0,97.0,1,5.377044202793626,0.594125543465288,201.40045977155884,13.999569448092595,446.57241756599007,7.99625177802857,-0.127,51.46,False,london
220.1368799830664,Private room,False,True,2.0,True,0,0,10.0,99.0,1,7.160289863373891,0.7327187406104583,172.935653334491,12.020949165923218,363.7737496722234,6.513672538198799,-0.0317,51.53216,False,london
174.5102189609351,Private room,False,True,2.0,False,0,1,9.0,91.0,1,6.697324832847935,0.938767089340496,197.73766277798896,13.744964364549547,405.1905643612415,7.25527516538838,-0.0316899999999999,51.50148,False,london
180.3899433194572,Private room,False,True,2.0,False,1,0,10.0,80.0,1,4.975613435821452,0.0857632098671308,270.8945111482072,18.83017807520404,671.5709861988094,12.025038899029395,-0.19422,51.49201,False,london
173.09908511488982,Private room,False,True,2.0,True,1,0,10.0,99.0,1,4.027651042375126,1.2661003565380062,270.8728327828446,18.828671187971715,505.2803662075265,9.047466587192028,-0.0952399999999999,51.47825,False,london
922.8815353136245,Private room,False,True,2.0,False,1,0,8.0,100.0,1,5.898228268291784,0.1538076570585355,231.8879073948898,16.11878576359666,486.9373681196711,8.7190199001489,-0.21158,51.51596,False,london
146.9931089630518,Private room,False,True,2.0,True,0,0,10.0,98.0,1,3.653397378181072,0.6107460028194825,285.4788383150148,19.843950840455,538.2243161904338,9.637355501652758,-0.12935,51.47551,False,london
461.911145605494,Entire home/apt,False,False,4.0,False,0,1,9.0,92.0,1,2.7755584377645937,0.4341090145166786,406.6200258585257,28.26460921414201,923.20670528244,16.530786426171833,-0.16533,51.51641,False,london
425.6920435569981,Entire home/apt,False,False,2.0,False,0,0,10.0,100.0,0,5.976328299494173,0.179268214040479,210.87028377036555,14.657827422691472,491.2841281421914,8.79685226549781,-0.20888,51.490840000000006,False,london
107.71655024812436,Private room,False,True,2.0,False,0,0,7.0,90.0,1,4.829074653297018,0.9069887028138808,224.84773143388617,15.62941532022898,468.268442702563,8.384737212306064,-0.14825,51.4669,False,london
400.5268233025236,Entire home/apt,False,False,4.0,True,0,1,9.0,98.0,1,4.930588747756941,0.4276582263530772,242.4593859515879,16.853620968994818,510.9301009042996,9.148629801348186,-0.15969,51.54783,False,london
133.82252639996236,Private room,False,True,2.0,False,0,1,8.0,80.0,1,5.948831300538658,0.3301975677338269,213.52689618994663,14.842491499957111,502.7384313684172,9.001951122785053,-0.20956,51.49296,False,london
169.3360615254357,Private room,False,True,2.0,False,1,0,9.0,96.0,1,7.272228660728098,1.0070813334542117,157.61160810586003,10.95575777734712,353.95593624234743,6.337876396281016,-0.19685,51.45936,False,london
199.4402502410687,Private room,False,True,3.0,False,0,1,9.0,89.0,1,2.2553118567024177,0.1689976518327574,450.9831628336263,31.348340094014954,993.4774033076866,17.789041911564986,-0.13544,51.52798,False,london
887.6031891624921,Entire home/apt,False,False,6.0,False,0,1,10.0,95.0,2,1.5388794656642553,0.1505853501600528,544.5471037857152,37.85207345530779,1463.3898669291343,26.203216690273823,-0.14785,51.51382,False,london
